"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 4","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 4","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 4","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 4","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 4","3 wk ahead","Bin","percent","9.9","10",0
"HHS Region 4","3 wk ahead","Bin","percent","10","10.1",0
"HHS Region 4","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 4","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 4","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 4","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 4","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 4","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 4","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 4","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 4","3 wk ahead","Bin","percent","10.9","11",0
"HHS Region 4","3 wk ahead","Bin","percent","11","11.1",0
"HHS Region 4","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 4","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 4","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 4","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 4","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 4","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 4","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 4","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 4","3 wk ahead","Bin","percent","11.9","12",0
"HHS Region 4","3 wk ahead","Bin","percent","12","12.1",0
"HHS Region 4","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 4","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 4","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 4","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 4","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 4","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 4","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 4","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 4","3 wk ahead","Bin","percent","12.9","13",0
"HHS Region 4","3 wk ahead","Bin","percent","13","100",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Point","percent",NA,NA,1.71832743495456
"HHS Region 4","4 wk ahead","Bin","percent","0","0.1",0
"HHS Region 4","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 4","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 4","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 4","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 4","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 4","4 wk ahead","Bin","percent","0.6","0.7",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.7","0.8",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","0.8","0.9",0.0039
"HHS Region 4","4 wk ahead","Bin","percent","0.9","1",0.0113
"HHS Region 4","4 wk ahead","Bin","percent","1","1.1",0.0247
"HHS Region 4","4 wk ahead","Bin","percent","1.1","1.2",0.0394
"HHS Region 4","4 wk ahead","Bin","percent","1.2","1.3",0.0581
"HHS Region 4","4 wk ahead","Bin","percent","1.3","1.4",0.07
"HHS Region 4","4 wk ahead","Bin","percent","1.4","1.5",0.0786
"HHS Region 4","4 wk ahead","Bin","percent","1.5","1.6",0.0829
"HHS Region 4","4 wk ahead","Bin","percent","1.6","1.7",0.0791
"HHS Region 4","4 wk ahead","Bin","percent","1.7","1.8",0.0714
"HHS Region 4","4 wk ahead","Bin","percent","1.8","1.9",0.0647
"HHS Region 4","4 wk ahead","Bin","percent","1.9","2",0.0607
"HHS Region 4","4 wk ahead","Bin","percent","2","2.1",0.0501
"HHS Region 4","4 wk ahead","Bin","percent","2.1","2.2",0.0422
"HHS Region 4","4 wk ahead","Bin","percent","2.2","2.3",0.0373
"HHS Region 4","4 wk ahead","Bin","percent","2.3","2.4",0.0317
"HHS Region 4","4 wk ahead","Bin","percent","2.4","2.5",0.0287
"HHS Region 4","4 wk ahead","Bin","percent","2.5","2.6",0.023
"HHS Region 4","4 wk ahead","Bin","percent","2.6","2.7",0.0206
"HHS Region 4","4 wk ahead","Bin","percent","2.7","2.8",0.0175
"HHS Region 4","4 wk ahead","Bin","percent","2.8","2.9",0.013
"HHS Region 4","4 wk ahead","Bin","percent","2.9","3",0.0113
"HHS Region 4","4 wk ahead","Bin","percent","3","3.1",0.0096
"HHS Region 4","4 wk ahead","Bin","percent","3.1","3.2",0.0089
"HHS Region 4","4 wk ahead","Bin","percent","3.2","3.3",0.0065
"HHS Region 4","4 wk ahead","Bin","percent","3.3","3.4",0.0059
"HHS Region 4","4 wk ahead","Bin","percent","3.4","3.5",0.0053
"HHS Region 4","4 wk ahead","Bin","percent","3.5","3.6",0.0049
"HHS Region 4","4 wk ahead","Bin","percent","3.6","3.7",0.0054
"HHS Region 4","4 wk ahead","Bin","percent","3.7","3.8",0.0035
"HHS Region 4","4 wk ahead","Bin","percent","3.8","3.9",0.0037
"HHS Region 4","4 wk ahead","Bin","percent","3.9","4",0.0023
"HHS Region 4","4 wk ahead","Bin","percent","4","4.1",0.0023
"HHS Region 4","4 wk ahead","Bin","percent","4.1","4.2",0.0017
"HHS Region 4","4 wk ahead","Bin","percent","4.2","4.3",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.3","4.4",0.0015
"HHS Region 4","4 wk ahead","Bin","percent","4.4","4.5",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","4.5","4.6",0.0018
"HHS Region 4","4 wk ahead","Bin","percent","4.6","4.7",0.000900000000000001
"HHS Region 4","4 wk ahead","Bin","percent","4.7","4.8",0.000900000000000001
"HHS Region 4","4 wk ahead","Bin","percent","4.8","4.9",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","4.9","5",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","5","5.1",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.1","5.2",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.2","5.3",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.3","5.4",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.4","5.5",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.5","5.6",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.6","5.7",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.7","5.8",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.8","5.9",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.9","6",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","6","6.1",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","6.1","6.2",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.2","6.3",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","6.3","6.4",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.4","6.5",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 4","4 wk ahead","Bin","percent","6.6","6.7",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.7","6.8",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","6.8","6.9",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.9","7",0
"HHS Region 4","4 wk ahead","Bin","percent","7","7.1",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","7.1","7.2",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.2","7.3",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 4","4 wk ahead","Bin","percent","7.4","7.5",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 4","4 wk ahead","Bin","percent","7.6","7.7",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.7","7.8",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","7.8","7.9",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","7.9","8",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","8","8.1",0
"HHS Region 4","4 wk ahead","Bin","percent","8.1","8.2",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.2","8.3",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","8.3","8.4",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.4","8.5",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 4","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 4","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 4","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 4","4 wk ahead","Bin","percent","8.9","9",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","9","9.1",0
"HHS Region 4","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 4","4 wk ahead","Bin","percent","9.2","9.3",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 4","4 wk ahead","Bin","percent","9.4","9.5",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 4","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 4","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 4","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 4","4 wk ahead","Bin","percent","9.9","10",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","10","10.1",0
"HHS Region 4","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 4","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 4","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 4","4 wk ahead","Bin","percent","10.4","10.5",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 4","4 wk ahead","Bin","percent","10.6","10.7",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 4","4 wk ahead","Bin","percent","10.8","10.9",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","10.9","11",0
"HHS Region 4","4 wk ahead","Bin","percent","11","11.1",0
"HHS Region 4","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 4","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 4","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 4","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 4","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 4","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 4","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 4","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 4","4 wk ahead","Bin","percent","11.9","12",0
"HHS Region 4","4 wk ahead","Bin","percent","12","12.1",0
"HHS Region 4","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 4","4 wk ahead","Bin","percent","12.2","12.3",9.99999999999999e-05
"HHS Region 4","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 4","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 4","4 wk ahead","Bin","percent","12.5","12.6",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 4","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 4","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 4","4 wk ahead","Bin","percent","12.9","13",0
"HHS Region 4","4 wk ahead","Bin","percent","13","100",6e-04
"HHS Region 5","Season onset","Point","week",NA,NA,8
"HHS Region 5","Season onset","Bin","week","40","41",0
"HHS Region 5","Season onset","Bin","week","41","42",0
"HHS Region 5","Season onset","Bin","week","42","43",0
"HHS Region 5","Season onset","Bin","week","43","44",0
"HHS Region 5","Season onset","Bin","week","44","45",0
"HHS Region 5","Season onset","Bin","week","45","46",0
"HHS Region 5","Season onset","Bin","week","46","47",0
"HHS Region 5","Season onset","Bin","week","47","48",0
"HHS Region 5","Season onset","Bin","week","48","49",0
"HHS Region 5","Season onset","Bin","week","49","50",0
"HHS Region 5","Season onset","Bin","week","50","51",0
"HHS Region 5","Season onset","Bin","week","51","52",0.0284
"HHS Region 5","Season onset","Bin","week","52","53",6e-04
"HHS Region 5","Season onset","Bin","week","1","2",1e-04
"HHS Region 5","Season onset","Bin","week","2","3",0.0053
"HHS Region 5","Season onset","Bin","week","3","4",0.0079
"HHS Region 5","Season onset","Bin","week","4","5",0.0089
"HHS Region 5","Season onset","Bin","week","5","6",0.0288
"HHS Region 5","Season onset","Bin","week","6","7",0.0411
"HHS Region 5","Season onset","Bin","week","7","8",0.0626
"HHS Region 5","Season onset","Bin","week","8","9",0.0653
"HHS Region 5","Season onset","Bin","week","9","10",0.0803
"HHS Region 5","Season onset","Bin","week","10","11",0.0546
"HHS Region 5","Season onset","Bin","week","11","12",0.0141
"HHS Region 5","Season onset","Bin","week","12","13",0.0148
"HHS Region 5","Season onset","Bin","week","13","14",0.0046
"HHS Region 5","Season onset","Bin","week","14","15",0.0042
"HHS Region 5","Season onset","Bin","week","15","16",0.0048
"HHS Region 5","Season onset","Bin","week","16","17",0.0044
"HHS Region 5","Season onset","Bin","week","17","18",0.0039
"HHS Region 5","Season onset","Bin","week","18","19",0
"HHS Region 5","Season onset","Bin","week","19","20",0
"HHS Region 5","Season onset","Bin","week","20","21",0
"HHS Region 5","Season onset","Bin","week","none","none",0.5653
"HHS Region 5","Season peak week","Point","week",NA,NA,9
"HHS Region 5","Season peak week","Bin","week","40","41",0
"HHS Region 5","Season peak week","Bin","week","41","42",0
"HHS Region 5","Season peak week","Bin","week","42","43",0
"HHS Region 5","Season peak week","Bin","week","43","44",0
"HHS Region 5","Season peak week","Bin","week","44","45",0
"HHS Region 5","Season peak week","Bin","week","45","46",0
"HHS Region 5","Season peak week","Bin","week","46","47",0
"HHS Region 5","Season peak week","Bin","week","47","48",0
"HHS Region 5","Season peak week","Bin","week","48","49",0
"HHS Region 5","Season peak week","Bin","week","49","50",0
"HHS Region 5","Season peak week","Bin","week","50","51",0.0530210620476539
"HHS Region 5","Season peak week","Bin","week","51","52",0.299991867935269
"HHS Region 5","Season peak week","Bin","week","52","53",0.0541595511100268
"HHS Region 5","Season peak week","Bin","week","1","2",0.00162641294624705
"HHS Region 5","Season peak week","Bin","week","2","3",0.000650565178498821
"HHS Region 5","Season peak week","Bin","week","3","4",0.00113848906237294
"HHS Region 5","Season peak week","Bin","week","4","5",0.000975847767748231
"HHS Region 5","Season peak week","Bin","week","5","6",0.00146377165162235
"HHS Region 5","Season peak week","Bin","week","6","7",0.00544848336992762
"HHS Region 5","Season peak week","Bin","week","7","8",0.0104090428559811
"HHS Region 5","Season peak week","Bin","week","8","9",0.0192729934130276
"HHS Region 5","Season peak week","Bin","week","9","10",0.0551353988777751
"HHS Region 5","Season peak week","Bin","week","10","11",0.16939090835163
"HHS Region 5","Season peak week","Bin","week","11","12",0.0613970887208262
"HHS Region 5","Season peak week","Bin","week","12","13",0.0970155322436366
"HHS Region 5","Season peak week","Bin","week","13","14",0.0517199316906563
"HHS Region 5","Season peak week","Bin","week","14","15",0.0179718630560299
"HHS Region 5","Season peak week","Bin","week","15","16",0.0129299829226641
"HHS Region 5","Season peak week","Bin","week","16","17",0.0165894120517199
"HHS Region 5","Season peak week","Bin","week","17","18",0.0304139220948199
"HHS Region 5","Season peak week","Bin","week","18","19",0.00219565747743352
"HHS Region 5","Season peak week","Bin","week","19","20",0.0222818573635846
"HHS Region 5","Season peak week","Bin","week","20","21",0.0148003578108482
"HHS Region 5","Season peak percentage","Point","percent",NA,NA,2.1
"HHS Region 5","Season peak percentage","Bin","percent","0","0.1",0
"HHS Region 5","Season peak percentage","Bin","percent","0.1","0.2",0
"HHS Region 5","Season peak percentage","Bin","percent","0.2","0.3",0
"HHS Region 5","Season peak percentage","Bin","percent","0.3","0.4",0
"HHS Region 5","Season peak percentage","Bin","percent","0.4","0.5",0
"HHS Region 5","Season peak percentage","Bin","percent","0.5","0.6",0
"HHS Region 5","Season peak percentage","Bin","percent","0.6","0.7",0
"HHS Region 5","Season peak percentage","Bin","percent","0.7","0.8",0
"HHS Region 5","Season peak percentage","Bin","percent","0.8","0.9",0
"HHS Region 5","Season peak percentage","Bin","percent","0.9","1",0
"HHS Region 5","Season peak percentage","Bin","percent","1","1.1",0
"HHS Region 5","Season peak percentage","Bin","percent","1.1","1.2",0
"HHS Region 5","Season peak percentage","Bin","percent","1.2","1.3",0
"HHS Region 5","Season peak percentage","Bin","percent","1.3","1.4",0
"HHS Region 5","Season peak percentage","Bin","percent","1.4","1.5",0
"HHS Region 5","Season peak percentage","Bin","percent","1.5","1.6",0.0652
"HHS Region 5","Season peak percentage","Bin","percent","1.6","1.7",0.0562
"HHS Region 5","Season peak percentage","Bin","percent","1.7","1.8",0.0762
"HHS Region 5","Season peak percentage","Bin","percent","1.8","1.9",0.0794
"HHS Region 5","Season peak percentage","Bin","percent","1.9","2",0.0853
"HHS Region 5","Season peak percentage","Bin","percent","2","2.1",0.0733
"HHS Region 5","Season peak percentage","Bin","percent","2.1","2.2",0.0653
"HHS Region 5","Season peak percentage","Bin","percent","2.2","2.3",0.0551
"HHS Region 5","Season peak percentage","Bin","percent","2.3","2.4",0.0442
"HHS Region 5","Season peak percentage","Bin","percent","2.4","2.5",0.0422
"HHS Region 5","Season peak percentage","Bin","percent","2.5","2.6",0.0362
"HHS Region 5","Season peak percentage","Bin","percent","2.6","2.7",0.0268
"HHS Region 5","Season peak percentage","Bin","percent","2.7","2.8",0.0262
"HHS Region 5","Season peak percentage","Bin","percent","2.8","2.9",0.0225
"HHS Region 5","Season peak percentage","Bin","percent","2.9","3",0.0224
"HHS Region 5","Season peak percentage","Bin","percent","3","3.1",0.0208
"HHS Region 5","Season peak percentage","Bin","percent","3.1","3.2",0.0171
"HHS Region 5","Season peak percentage","Bin","percent","3.2","3.3",0.0168
"HHS Region 5","Season peak percentage","Bin","percent","3.3","3.4",0.0153
"HHS Region 5","Season peak percentage","Bin","percent","3.4","3.5",0.0113
"HHS Region 5","Season peak percentage","Bin","percent","3.5","3.6",0.0101
"HHS Region 5","Season peak percentage","Bin","percent","3.6","3.7",0.0108
"HHS Region 5","Season peak percentage","Bin","percent","3.7","3.8",0.0096
"HHS Region 5","Season peak percentage","Bin","percent","3.8","3.9",0.008
"HHS Region 5","Season peak percentage","Bin","percent","3.9","4",0.0084
"HHS Region 5","Season peak percentage","Bin","percent","4","4.1",0.0063
"HHS Region 5","Season peak percentage","Bin","percent","4.1","4.2",0.0062
"HHS Region 5","Season peak percentage","Bin","percent","4.2","4.3",0.0063
"HHS Region 5","Season peak percentage","Bin","percent","4.3","4.4",0.006
"HHS Region 5","Season peak percentage","Bin","percent","4.4","4.5",0.0043
"HHS Region 5","Season peak percentage","Bin","percent","4.5","4.6",0.0038
"HHS Region 5","Season peak percentage","Bin","percent","4.6","4.7",0.0038
"HHS Region 5","Season peak percentage","Bin","percent","4.7","4.8",0.0044
"HHS Region 5","Season peak percentage","Bin","percent","4.8","4.9",0.0031
"HHS Region 5","Season peak percentage","Bin","percent","4.9","5",0.0026
"HHS Region 5","Season peak percentage","Bin","percent","5","5.1",0.0033
"HHS Region 5","Season peak percentage","Bin","percent","5.1","5.2",0.0039
"HHS Region 5","Season peak percentage","Bin","percent","5.2","5.3",0.003
"HHS Region 5","Season peak percentage","Bin","percent","5.3","5.4",0.0025
"HHS Region 5","Season peak percentage","Bin","percent","5.4","5.5",0.0027
"HHS Region 5","Season peak percentage","Bin","percent","5.5","5.6",0.0021
"HHS Region 5","Season peak percentage","Bin","percent","5.6","5.7",0.0012
"HHS Region 5","Season peak percentage","Bin","percent","5.7","5.8",0.0017
"HHS Region 5","Season peak percentage","Bin","percent","5.8","5.9",0.0011
"HHS Region 5","Season peak percentage","Bin","percent","5.9","6",0.0018
"HHS Region 5","Season peak percentage","Bin","percent","6","6.1",0.0017
"HHS Region 5","Season peak percentage","Bin","percent","6.1","6.2",0.0019
"HHS Region 5","Season peak percentage","Bin","percent","6.2","6.3",0.000900000000000001
"HHS Region 5","Season peak percentage","Bin","percent","6.3","6.4",0.0011
"HHS Region 5","Season peak percentage","Bin","percent","6.4","6.5",0.0012
"HHS Region 5","Season peak percentage","Bin","percent","6.5","6.6",0.0011
"HHS Region 5","Season peak percentage","Bin","percent","6.6","6.7",0.001
"HHS Region 5","Season peak percentage","Bin","percent","6.7","6.8",0.001
"HHS Region 5","Season peak percentage","Bin","percent","6.8","6.9",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","6.9","7",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","7","7.1",8e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.1","7.2",6e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.2","7.3",0.0012
"HHS Region 5","Season peak percentage","Bin","percent","7.3","7.4",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.4","7.5",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.5","7.6",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.6","7.7",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.7","7.8",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.8","7.9",6e-04
"HHS Region 5","Season peak percentage","Bin","percent","7.9","8",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","8","8.1",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","8.1","8.2",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.2","8.3",0.000900000000000001
"HHS Region 5","Season peak percentage","Bin","percent","8.3","8.4",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.4","8.5",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.5","8.6",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.6","8.7",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.7","8.8",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.8","8.9",0
"HHS Region 5","Season peak percentage","Bin","percent","8.9","9",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","9","9.1",3e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.1","9.2",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.2","9.3",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","9.3","9.4",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","9.4","9.5",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.5","9.6",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.6","9.7",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.7","9.8",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","9.8","9.9",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.9","10",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","10","10.1",0
"HHS Region 5","Season peak percentage","Bin","percent","10.1","10.2",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","10.2","10.3",0
"HHS Region 5","Season peak percentage","Bin","percent","10.3","10.4",0
"HHS Region 5","Season peak percentage","Bin","percent","10.4","10.5",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","10.5","10.6",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","10.6","10.7",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","10.7","10.8",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","10.8","10.9",0
"HHS Region 5","Season peak percentage","Bin","percent","10.9","11",0
"HHS Region 5","Season peak percentage","Bin","percent","11","11.1",0
"HHS Region 5","Season peak percentage","Bin","percent","11.1","11.2",0
"HHS Region 5","Season peak percentage","Bin","percent","11.2","11.3",0
"HHS Region 5","Season peak percentage","Bin","percent","11.3","11.4",0
"HHS Region 5","Season peak percentage","Bin","percent","11.4","11.5",0
"HHS Region 5","Season peak percentage","Bin","percent","11.5","11.6",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","11.6","11.7",0
"HHS Region 5","Season peak percentage","Bin","percent","11.7","11.8",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","11.8","11.9",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.9","12",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","12","12.1",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","12.1","12.2",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","12.2","12.3",0
"HHS Region 5","Season peak percentage","Bin","percent","12.3","12.4",0
"HHS Region 5","Season peak percentage","Bin","percent","12.4","12.5",0
"HHS Region 5","Season peak percentage","Bin","percent","12.5","12.6",9.99999999999999e-05
"HHS Region 5","Season peak percentage","Bin","percent","12.6","12.7",0
"HHS Region 5","Season peak percentage","Bin","percent","12.7","12.8",0
"HHS Region 5","Season peak percentage","Bin","percent","12.8","12.9",0
"HHS Region 5","Season peak percentage","Bin","percent","12.9","13",0
"HHS Region 5","Season peak percentage","Bin","percent","13","100",0.0014
"HHS Region 5","1 wk ahead","Point","percent",NA,NA,1.77764179106918
"HHS Region 5","1 wk ahead","Bin","percent","0","0.1",0
"HHS Region 5","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 5","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 5","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 5","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 5","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 5","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 5","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 5","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 5","1 wk ahead","Bin","percent","0.9","1",0
"HHS Region 5","1 wk ahead","Bin","percent","1","1.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","1.1","1.2",0.0014
"HHS Region 5","1 wk ahead","Bin","percent","1.2","1.3",0.0084
"HHS Region 5","1 wk ahead","Bin","percent","1.3","1.4",0.0252
"HHS Region 5","1 wk ahead","Bin","percent","1.4","1.5",0.0555
"HHS Region 5","1 wk ahead","Bin","percent","1.5","1.6",0.0932
"HHS Region 5","1 wk ahead","Bin","percent","1.6","1.7",0.1312
"HHS Region 5","1 wk ahead","Bin","percent","1.7","1.8",0.1457
"HHS Region 5","1 wk ahead","Bin","percent","1.8","1.9",0.1395
"HHS Region 5","1 wk ahead","Bin","percent","1.9","2",0.1279
"HHS Region 5","1 wk ahead","Bin","percent","2","2.1",0.0982
"HHS Region 5","1 wk ahead","Bin","percent","2.1","2.2",0.0658
"HHS Region 5","1 wk ahead","Bin","percent","2.2","2.3",0.0436
"HHS Region 5","1 wk ahead","Bin","percent","2.3","2.4",0.0279
"HHS Region 5","1 wk ahead","Bin","percent","2.4","2.5",0.0175
"HHS Region 5","1 wk ahead","Bin","percent","2.5","2.6",0.0098
"HHS Region 5","1 wk ahead","Bin","percent","2.6","2.7",0.0046
"HHS Region 5","1 wk ahead","Bin","percent","2.7","2.8",0.0027
"HHS Region 5","1 wk ahead","Bin","percent","2.8","2.9",0.000900000000000001
